"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT16","WT17","WT18","WT19","WT22"
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-01","8.05"," 1148"," 1142","0.00","0.0","13.0",,"-5","-27","  350","  340","0.0","17.9","21.0",,,,,,,,,,,,,,,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-02","2.91"," 1322"," 1320","0.00","0.0","13.0",,"-9","-33","  160","  160","0.0","10.1","13.0",,,,,,,,"    1",,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-03","3.36"," 1328"," 1303","0.00","0.0","13.0",,"-2","-28","  150","  150","0.0","12.1","14.1",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-04","0.67"," 1850"," 1847","0.00","0.0","13.0",,"5","-12","  340","  350","0.0","6.0","6.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-05","1.79"," 2149"," 2145","0.00","0.0","13.0",,"10","3","   50","   50","0.0","6.9","8.1",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-06","13.87"," 2240"," 2222","0.19","2.9","15.0",,"10","2","  350","  360","0.0","25.9","31.1","    1",,,,,,,,,,,,"    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-07","19.01"," 0631"," 0250","0.01","0.2","15.0",,"2","-18","  350","  340","0.0","31.1","36.9",,,,,,,"    1","    1",,,,,"    1",,"    1","    1",
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-08","4.92"," 0116"," 0116","0.00","0.0","14.0",,"-8","-19","  320","  320","0.0","10.1","13.0",,,,,,,,"    1",,,,,,,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-09","12.53"," 2015"," 1702","0.00","0.0","14.0",,"2","-21","  170","  170","0.0","21.9","28.0",,,,,,,"    1","    1",,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-10","10.29"," 1537"," 1534","0.00","0.0","14.0",,"17","1","  340","  350","0.0","17.9","21.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-11","7.61"," 2342"," 2058","0.00","0.0","14.0",,"17","7","  170","  160","0.0","16.1","21.0","    1",,,,,,"    1","    1",,,,"    1",,,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-12","14.99"," 0524"," 0514","0.00","0.0","14.0",,"22","10","  160","  160","0.0","21.9","29.1",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-13","9.62"," 0622"," 0606","0.00","0.0","14.0",,"24","14","  170","  170","0.0","15.0","21.0","    1",,,,,,"    1","    1",,,,"    1",,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-14","7.83"," 0859"," 1110","0.00","0.0","13.0",,"32","16","  330","  350","0.0","17.9","21.0","    1",,,,,,,,,,,"    1",,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-15","14.09"," 0357"," 0527","0.00","0.0","13.0",,"32","20","  190","  190","0.0","21.9","23.9","    1",,,,,,,,,,,"    1",,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-16","10.51"," 0808"," 0755","0.00","0.0","12.0",,"35","20","  160","  160","0.0","16.1","21.0",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-17","7.61"," 0454"," 1654","0.00","0.0","12.0",,"35","18","  310","  310","0.0","13.0","15.0","    1",,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-18","4.47"," 2348"," 2348","0.00","0.0","12.0",,"24","5","  160","  150","0.0","8.9","12.1","    1","    1",,,,,"    1","    1","    1",,,"    1",,,,,"    1"
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-19","10.51"," 1401"," 1400","0.00","0.0","12.0",,"22","14","  160","  170","0.0","17.9","23.0","    1","    1",,,,,"    1","    1",,,,,,,"    1",,"    1"
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-20","12.30"," 0519"," 0132","0.00","0.0","12.0",,"25","16","  130","  150","0.0","19.9","25.9",,,,,,,,"    1",,,,,"    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-21","11.63"," 1129"," 1024","0.06","0.6","12.0",,"28","23","  130","  120","0.0","16.1","21.0","    1",,,,,,"    1","    1",,,,"    1","    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-22","14.54"," 1802"," 1428","0.26","0.2","12.0",,"36","27","  120","  130","0.0","23.9","31.1","    1",,,,"    1",,"    1","    1",,,,,"    1","    1","    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-23","11.86"," 0154"," 0149","0.90","4.4","15.0",,"36","33","  140","  140","0.0","23.0","32.0","    1","    1",,,"    1",,,,"    1",,,,"    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-24","14.54"," 2217"," 2102","0.00","0.0","14.0",,"34","22","  320","  310","0.0","31.1","38.0","    1",,,,,,,"    1",,,,"    1","    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-25","31.54"," 1408"," 1407","0.15","2.2","15.0",,"22","1","  340","  340","0.0","47.0","53.9","    1","    1",,,,,"    1","    1","    1",,,,"    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-26","10.96"," 2356"," 2354","0.00","0.0","15.0",,"7","-9","  340","  330","0.0","25.1","31.1",,,,,,,,"    1","    1",,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-27","13.20"," 1500"," 1459","0.00","0.0","15.0",,"7","-5","  310","  320","0.0","21.9","25.9",,,,,,,"    1","    1",,,,,,,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-28","6.71"," 0219"," 0219","0.00","0.0","15.0",,"1","-11","  300","  310","0.0","14.1","17.0",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-29","8.50"," 1423"," 1230","0.00","0.0","15.0",,"8","-9","  160","  160","0.0","15.0","17.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-30","4.92"," 2217"," 2231","0.00","0.0","15.0",,"4","-11","  350","  340","0.0","10.1","13.0","    1",,,,,,"    1","    1",,,,"    1",,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-01-31","8.95"," 1123"," 1102","0.00","0.0","13.0",,"4","-6","   10","   10","0.0","17.0","19.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-01","6.04"," 2045"," 0045","0.04","0.5","13.0",,"10","-6","  360","   20","0.0","10.1","13.0",,,,,,,"    1","    1",,,,,"    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-02","2.91"," 0414"," 0727","0.04","0.9","14.0",,"8","-12","  350","  340","0.0","8.1","8.1","    1",,,,,,"    1","    1",,,,"    1","    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-03","6.71"," 1222"," 1213","0.00","0.0","14.0",,"17","-12","  180","  190","0.0","17.0","21.9",,,,,,,"    1","    1",,,,,,,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-04","6.71"," 1528"," 1535","0.00","0.0","13.0",,"26","15","   60","   60","0.0","12.1","14.1","    1",,,,,,"    1","    1",,,,"    1","    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-05","5.59"," 2358"," 2357","0.24","2.0","15.0",,"33","26","  110","  110","0.0","10.1","12.1","    1",,,,,,,"    1",,,,"    1","    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-06","7.61"," 1329"," 1027","0.08","0.7","15.0",,"29","20","  160","  140","0.0","13.0","16.1","    1",,,,,,"    1","    1",,,,"    1","    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-07","11.63"," 1348"," 1500","0.32","4.5","16.0",,"24","1","  360","  360","0.0","21.0","23.9","    1",,,,,,,,,,,"    1","    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-08","14.76"," 1533"," 1532","0.11","1.1","20.0",,"24","2","   30","   20","0.0","23.0","29.1","    1",,,,,,,"    1",,,,"    1","    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-09","8.50"," 1024"," 1024","0.00","0.0","20.0",,"6","-11","  340","  340","0.0","15.0","16.1",,,,,,,"    1","    1",,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-10","2.24"," 2318"," 2325","0.00","0.0","20.0",,"8","-18","  160","  160","0.0","12.1","14.1","    1","    1",,,,,"    1","    1","    1",,,"    1",,,,,"    1"
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-11","6.04"," 1040"," 1039","0.00","0.0","20.0",,"18","-10","  160","  160","0.0","17.0","21.9","    1",,,,,,"    1","    1",,,,"    1","    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-12","4.70"," 2316"," 2327","0.00","0.0","20.0",,"19","14","  170","  160","0.0","12.1","16.1","    1",,,,,,"    1","    1",,,,"    1",,,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-13","9.40"," 2120"," 1435","0.00","0.0","20.0",,"24","6","   10","   40","0.0","19.9","33.1","    1",,,,,,"    1","    1",,,,"    1",,,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-14","21.92"," 1852"," 1833","0.00","0.0","20.0",,"14","2","  340","  340","0.0","32.0","38.0",,,,,,,"    1","    1",,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-15","20.80"," 1545"," 1551","0.00","0.0","20.0",,"18","7","  350","  350","0.0","31.1","36.9",,,,,,,,"    1","    1",,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-16","6.04"," 0035"," 2355","0.00","0.0","20.0",,"19","-4","  340","  350","0.0","14.1","16.1",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-17","1.12"," 0030"," 0025","0.00","0.0","20.0",,"22","-8","  250","  260","0.0","6.9","8.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-18","2.91"," 1852"," 1851","0.00","0.0","20.0",,"18","-10","  100","  100","0.0","8.9","12.1","    1","    1",,,,,,"    1","    1",,,,,,"    1",,"    1"
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-19","3.80"," 1144"," 1143","0.00","0.0","19.0",,"23","14","  180","  180","0.0","8.9","10.1","    1",,,,,,,"    1",,,,"    1",,,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-20","3.80"," 1701"," 1822","0.03","0.4","19.0",,"25","6","  360","   10","0.0","10.1","10.1","    1",,,,,,"    1","    1",,,,"    1","    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-21","5.82"," 1415"," 1348","0.00","0.2","19.0",,"22","3","  340","  350","0.0","14.1","17.0","    1",,,,,,"    1","    1",,,,"    1","    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-22","7.38"," 1651"," 1744","0.00","0.0","19.0",,"20","3","  210","  220","0.0","15.0","16.1","    1",,,,,,"    1","    1",,,,"    1","    1",,"    1",,"    1"
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-23","16.11"," 0235"," 0234","0.00","0.0","19.0",,"17","-11","  350","  340","0.0","32.0","38.0","    1",,,,,,"    1","    1","    1",,,,"    1",,"    1","    1",
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-24","4.03"," 1430"," 1429","0.00","0.0","19.0",,"10","-19","  190","  190","0.0","12.1","14.1",,,,,,,"    1","    1",,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-25","14.09"," 1436"," 1337","0.00","0.0","19.0",,"19","1","  150","  150","0.0","25.1","33.1",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-26","6.93"," 0348"," 0022","0.00","0.0","19.0",,"24","16","  160","  160","0.0","16.1","21.0",,,,,,,,,,,,,,,,,
